dataset,problem,file,lines,before,after
all_py,1005,787480.py,16,397,17
all_py,1005,797858.py,22,710,31
all_py,1005,741180.py,26,764,39
all_py,1005,699984.py,38,849,36
all_py,1005,696208.py,46,1621,71
all_py,1006,149231.py,9,311,16
all_py,1006,687148.py,19,430,31
all_py,1006,682130.py,15,501,27
all_py,1006,147901.py,17,541,29
all_py,1006,143425.py,30,1022,49
all_py,1028,801230.py,26,444,23
all_py,1028,753801.py,14,479,23
all_py,1028,766791.py,22,523,33
all_py,1028,766100.py,21,620,34
all_py,1028,695584.py,37,704,38
all_py,1034,711820.py,23,524,43
all_py,1034,781465.py,29,594,48
all_py,1034,695714.py,45,796,63
all_py,1037,147491.py,12,561,16
all_py,1037,147512.py,13,596,17
all_py,1037,798713.py,22,707,33
all_py,1037,695711.py,36,813,32
all_py,1037,793058.py,53,1437,85
all_py,1039,685618.py,8,200,8
all_py,1039,744651.py,14,328,20
all_py,1039,759208.py,19,366,21
all_py,1039,802164.py,11,434,21
all_py,1039,755303.py,12,790,19
all_py,1046,681452.py,40,893,63
all_py,1046,746691.py,47,1148,83
all_py,1046,681701.py,57,1282,90
all_py,1046,756109.py,68,1411,93
all_py,1046,759546.py,77,1686,107
all_py,1047,696337.py,19,563,29
all_py,1047,720408.py,31,887,38
all_py,1047,695705.py,49,1257,49
all_py,1048,728722.py,22,510,34
all_py,1048,725902.py,27,511,34
all_py,1048,695709.py,26,577,36
all_py,1049,761808.py,38,1552,62
all_py,1050,695701.py,7,168,7
all_py,1050,759963.py,8,256,10
all_py,1050,696520.py,12,370,18
all_py,1050,141108.py,17,528,23
all_py,1050,141071.py,29,800,46
all_py,1051,145588.py,17,387,25
all_py,1051,686574.py,21,466,33
all_py,1051,749479.py,38,562,39
all_py,1051,691301.py,27,619,37
all_py,1051,738424.py,43,867,62
all_py,1052,739098.py,26,685,37
all_py,1053,739100.py,48,1024,64
all_py,1053,797086.py,41,1081,61
all_py,1053,793714.py,51,1336,73
all_py,1053,741906.py,53,1357,62
all_py,1053,782174.py,55,1470,65
all_py,1054,769506.py,69,1550,62
all_py,1054,761824.py,73,1617,141
all_py,1055,681443.py,48,1155,71
all_py,1055,781356.py,55,1493,85
all_py,1055,686605.py,66,1545,90
all_py,1055,686651.py,72,1773,94
all_py,1055,686081.py,66,1839,94
all_py,1060,741569.py,46,1560,73
all_py,1084,752866.py,11,417,12
all_py,1084,793062.py,19,604,26
all_py,1084,756614.py,26,738,28
all_py,1084,755358.py,25,875,30
all_py,1084,752694.py,44,1083,44
all_py,1085,727065.py,36,670,32
all_py,1085,723940.py,24,750,36
all_py,1085,781468.py,29,957,44
all_py,1085,727904.py,35,1022,55
all_py,1085,727725.py,51,1259,68
all_py,1087,697384.py,9,325,14
all_py,1087,797375.py,12,370,21
all_py,1087,797092.py,22,583,32
all_py,1087,784824.py,26,669,39
all_py,1088,144778.py,12,513,19
all_py,1088,144757.py,14,591,20
all_py,1088,144749.py,16,610,22
all_py,1088,145470.py,16,611,22
all_py,1088,144920.py,31,726,34
all_py,1092,713351.py,26,845,46
