dataset,problem,file,lines,before,after
all_py,1005,787480.py,16,775,17
all_py,1005,797858.py,22,1246,30
all_py,1005,741180.py,26,1468,35
all_py,1005,699984.py,38,1521,35
all_py,1005,696208.py,46,2707,62
all_py,1006,149231.py,9,519,13
all_py,1006,687148.py,19,658,25
all_py,1006,682130.py,15,839,23
all_py,1006,147901.py,17,913,24
all_py,1006,143425.py,30,1681,41
all_py,1028,801230.py,26,736,22
all_py,1028,753801.py,14,775,20
all_py,1028,766791.py,22,860,30
all_py,1028,766100.py,21,1027,31
all_py,1028,695584.py,37,1164,36
all_py,1034,711820.py,23,874,33
all_py,1034,781465.py,29,960,38
all_py,1034,695714.py,45,1315,46
all_py,1037,147491.py,12,936,16
all_py,1037,147512.py,13,986,17
all_py,1037,798713.py,22,1165,31
all_py,1037,695711.py,36,1330,31
all_py,1037,793058.py,53,2538,74
all_py,1039,685618.py,8,328,8
all_py,1039,744651.py,14,571,17
all_py,1039,757925.py,22,658,21
all_py,1039,802164.py,11,865,19
all_py,1039,755303.py,12,1525,17
all_py,1046,681452.py,40,1517,49
all_py,1046,746691.py,47,1989,67
all_py,1046,681701.py,57,2236,74
all_py,1046,756109.py,68,2416,79
all_py,1046,759546.py,77,2913,86
all_py,1047,696337.py,19,958,26
all_py,1047,720408.py,31,1460,37
all_py,1047,695705.py,49,2057,47
all_py,1048,728722.py,22,945,29
all_py,1048,725902.py,27,945,29
all_py,1048,695709.py,26,1068,31
all_py,1049,761808.py,38,2822,54
all_py,1050,695701.py,7,282,7
all_py,1050,759963.py,8,419,10
all_py,1050,696520.py,12,599,16
all_py,1050,141108.py,17,811,23
all_py,1050,141071.py,29,1250,41
all_py,1051,145588.py,17,727,21
all_py,1051,686574.py,21,860,27
all_py,1051,749479.py,38,1015,34
all_py,1051,749138.py,24,1112,30
all_py,1051,738424.py,43,1501,55
all_py,1052,739098.py,26,1092,33
all_py,1053,739100.py,48,1738,57
all_py,1053,797086.py,41,1871,54
all_py,1053,793714.py,51,2227,65
all_py,1053,741906.py,53,2260,59
all_py,1053,782174.py,55,2529,60
all_py,1054,769506.py,69,2955,53
all_py,1054,761824.py,73,3015,96
all_py,1055,681443.py,48,1999,63
all_py,1055,681898.py,76,2598,79
all_py,1055,686605.py,66,2693,79
all_py,1055,686347.py,76,3090,94
all_py,1055,681842.py,60,3234,87
all_py,1060,741569.py,46,2731,67
all_py,1084,752866.py,11,714,12
all_py,1084,793062.py,19,1005,26
all_py,1084,756614.py,26,1258,28
all_py,1084,755358.py,25,1472,30
all_py,1084,752694.py,44,1810,40
all_py,1085,727065.py,36,1165,29
all_py,1085,723940.py,24,1289,32
all_py,1085,781468.py,29,1614,40
all_py,1085,727904.py,35,1762,49
all_py,1085,724988.py,54,2207,60
all_py,1087,697384.py,9,587,13
all_py,1087,797375.py,12,752,17
all_py,1087,797092.py,22,1080,28
all_py,1087,784824.py,26,1237,32
all_py,1088,144778.py,12,866,19
all_py,1088,144757.py,14,978,20
all_py,1088,144749.py,16,1013,22
all_py,1088,145470.py,16,1013,22
all_py,1088,144920.py,31,1174,31
all_py,1092,713351.py,26,1431,37
all_py,1092,763948.py,35,1693,44
all_py,1092,713348.py,40,2164,55
all_py,1093,780086.py,7,640,10
all_py,1093,723960.py,19,993,23
all_py,1093,780211.py,28,1261,35
all_py,1093,780164.py,43,2217,51
all_py,1093,725226.py,79,3006,74
all_py,1118,753505.py,21,575,14
all_py,1118,756398.py,25,820,28
all_py,1118,756108.py,39,887,31
all_py,1118,754608.py,46,1029,36
all_py,1118,758318.py,55,1977,66
all_py,1120,741497.py,62,2433,62
all_py,1123,753615.py,17,1357,25
all_py,1123,752594.py,34,1925,34
all_py,1123,752725.py,49,1993,40
all_py,1123,755811.py,55,2452,57
all_py,1123,756582.py,73,2962,84
all_py,1124,766346.py,10,448,14
all_py,1124,721042.py,9,473,15
all_py,1124,719681.py,22,777,26
all_py,1125,766348.py,8,391,10
