dataset,problem,file,lines,raw_nodes_python_3,raw_nodes_python_3_13
all_py,1005,787480.py,16,397,775
all_py,1005,797858.py,22,710,1246
all_py,1005,741180.py,26,764,1468
all_py,1005,699984.py,38,849,1521
all_py,1005,696208.py,46,1621,2707
all_py,1006,149231.py,9,311,519
all_py,1006,687148.py,19,430,658
all_py,1006,682130.py,15,501,839
all_py,1006,147901.py,17,541,913
all_py,1006,143425.py,30,1022,1681
all_py,1028,801230.py,26,444,736
all_py,1028,753801.py,14,479,775
all_py,1028,766791.py,22,523,860
all_py,1028,766100.py,21,620,1027
all_py,1028,695584.py,37,704,1164
all_py,1034,711820.py,23,524,874
all_py,1034,781465.py,29,594,960
all_py,1034,695714.py,45,796,1315
all_py,1037,147491.py,12,561,936
all_py,1037,147512.py,13,596,986
all_py,1037,798713.py,22,707,1165
all_py,1037,695711.py,36,813,1330
all_py,1037,793058.py,53,1437,2538
all_py,1039,685618.py,8,200,328
all_py,1039,744651.py,14,328,571
all_py,1039,759208.py,19,366,674
all_py,1039,802164.py,11,434,865
all_py,1039,755303.py,12,790,1525
all_py,1046,681452.py,40,893,1517
all_py,1046,746691.py,47,1148,1989
all_py,1046,681701.py,57,1282,2236
all_py,1046,756109.py,68,1411,2416
all_py,1046,759546.py,77,1686,2913
all_py,1047,696337.py,19,563,958
all_py,1047,720408.py,31,887,1460
all_py,1047,695705.py,49,1257,2057
all_py,1048,728722.py,22,510,945
all_py,1048,725902.py,27,511,945
all_py,1048,695709.py,26,577,1068
all_py,1049,761808.py,38,1552,2822
all_py,1050,695701.py,7,168,282
all_py,1050,759963.py,8,256,419
all_py,1050,696520.py,12,370,599
all_py,1050,141108.py,17,528,811
all_py,1050,141071.py,29,800,1250
all_py,1051,145588.py,17,387,727
all_py,1051,686574.py,21,466,860
all_py,1051,749479.py,38,562,1015
all_py,1051,691301.py,27,619,1108
all_py,1051,738424.py,43,867,1501
all_py,1052,739098.py,26,685,1092
all_py,1053,739100.py,48,1024,1738
all_py,1053,797086.py,41,1081,1871
all_py,1053,793714.py,51,1336,2227
all_py,1053,741906.py,53,1357,2260
all_py,1053,782174.py,55,1470,2529
all_py,1054,769506.py,69,1550,2955
all_py,1054,761824.py,73,1617,3015
all_py,1055,681443.py,48,1155,1999
all_py,1055,781356.py,55,1493,2607
all_py,1055,686605.py,66,1545,2693
all_py,1055,686651.py,72,1773,3073
all_py,1055,686081.py,66,1839,3143
all_py,1060,741569.py,46,1560,2731
all_py,1084,752866.py,11,417,714
all_py,1084,793062.py,19,604,1005
all_py,1084,756614.py,26,738,1258
all_py,1084,755358.py,25,875,1472
all_py,1084,752694.py,44,1083,1810
all_py,1085,727065.py,36,670,1165
all_py,1085,723940.py,24,750,1289
all_py,1085,781468.py,29,957,1614
all_py,1085,727904.py,35,1022,1762
all_py,1085,727725.py,51,1259,2187
all_py,1087,697384.py,9,325,587
all_py,1087,797375.py,12,370,752
